Frame,Time_ns,RMSD_A
0,0.000,0.000
1,0.500,2.067
2,1.000,3.997
3,1.500,4.446
4,2.000,4.514
5,2.500,3.833
6,3.000,4.064
7,3.500,3.011
8,4.000,2.960
9,4.500,3.706
10,5.000,3.574
11,5.500,3.016
12,6.000,3.849
13,6.500,3.842
14,7.000,4.047
15,7.500,3.873
16,8.000,4.110
17,8.500,2.890
18,9.000,3.082
19,9.500,3.511
20,10.000,3.518
21,10.500,3.513
22,11.000,3.076
23,11.500,2.789
24,12.000,2.703
25,12.500,2.568
26,13.000,2.967
27,13.500,2.910
28,14.000,2.354
29,14.500,2.728
30,15.000,3.036
31,15.500,3.497
32,16.000,3.431
33,16.500,2.365
34,17.000,2.410
35,17.500,2.581
36,18.000,2.469
37,18.500,3.541
38,19.000,2.838
39,19.500,3.045
40,20.000,2.268
41,20.500,2.381
42,21.000,2.494
43,21.500,2.275
44,22.000,2.230
45,22.500,2.392
46,23.000,2.447
47,23.500,2.524
48,24.000,2.342
49,24.500,2.118
50,25.000,3.912
51,25.500,3.731
52,26.000,2.588
53,26.500,2.989
54,27.000,3.026
55,27.500,3.099
56,28.000,4.625
57,28.500,3.935
58,29.000,5.364
59,29.500,2.403
60,30.000,2.864
61,30.500,2.624
62,31.000,3.339
63,31.500,2.760
64,32.000,2.379
65,32.500,2.572
66,33.000,2.301
67,33.500,2.463
68,34.000,2.479
69,34.500,3.670
70,35.000,4.432
71,35.500,4.484
72,36.000,3.981
73,36.500,3.203
74,37.000,3.491
75,37.500,3.711
76,38.000,2.868
77,38.500,3.507
78,39.000,4.156
79,39.500,3.666
80,40.000,2.545
81,40.500,3.106
82,41.000,2.650
83,41.500,2.926
84,42.000,3.838
85,42.500,3.326
86,43.000,3.544
87,43.500,3.093
88,44.000,3.296
89,44.500,4.065
90,45.000,4.517
91,45.500,2.484
92,46.000,4.942
93,46.500,2.722
94,47.000,4.103
95,47.500,2.458
96,48.000,3.500
97,48.500,2.889
98,49.000,3.046
99,49.500,2.806
100,50.000,2.477
101,50.500,2.490
102,51.000,2.487
103,51.500,2.471
104,52.000,2.594
105,52.500,2.490
106,53.000,2.938
107,53.500,2.837
108,54.000,2.305
109,54.500,2.478
110,55.000,2.667
111,55.500,2.557
112,56.000,3.136
113,56.500,2.746
114,57.000,2.413
115,57.500,2.339
116,58.000,2.477
117,58.500,3.907
118,59.000,2.554
119,59.500,2.535
120,60.000,2.390
121,60.500,2.652
122,61.000,2.380
123,61.500,2.846
124,62.000,3.241
125,62.500,3.718
126,63.000,2.938
127,63.500,3.085
128,64.000,4.094
129,64.500,3.045
130,65.000,2.943
131,65.500,3.708
132,66.000,3.494
133,66.500,3.007
134,67.000,2.788
135,67.500,3.687
136,68.000,2.792
137,68.500,2.749
138,69.000,3.824
139,69.500,2.993
140,70.000,3.860
141,70.500,2.751
142,71.000,3.070
143,71.500,3.244
144,72.000,2.468
145,72.500,2.472
146,73.000,2.726
147,73.500,2.752
148,74.000,2.868
149,74.500,2.846
150,75.000,3.033
151,75.500,2.882
152,76.000,2.676
153,76.500,2.957
154,77.000,2.804
155,77.500,3.464
156,78.000,3.127
157,78.500,2.652
158,79.000,2.675
159,79.500,4.309
160,80.000,2.761
161,80.500,3.075
162,81.000,2.775
163,81.500,3.300
164,82.000,3.683
165,82.500,2.864
166,83.000,3.125
167,83.500,2.768
168,84.000,2.749
169,84.500,2.757
170,85.000,2.516
171,85.500,2.755
172,86.000,2.649
173,86.500,2.664
174,87.000,2.525
175,87.500,2.801
176,88.000,2.763
177,88.500,3.219
178,89.000,3.053
179,89.500,3.619
180,90.000,3.353
181,90.500,3.269
182,91.000,2.540
183,91.500,2.702
184,92.000,2.989
185,92.500,2.688
186,93.000,2.422
187,93.500,2.977
188,94.000,3.160
189,94.500,2.834
190,95.000,3.168
191,95.500,2.876
192,96.000,2.745
193,96.500,2.590
194,97.000,2.993
195,97.500,3.168
196,98.000,4.426
197,98.500,3.112
198,99.000,2.957
199,99.500,2.697
200,100.000,3.601
201,100.500,2.618
202,101.000,3.075
203,101.500,2.974
204,102.000,2.718
205,102.500,3.089
206,103.000,2.797
207,103.500,2.949
208,104.000,2.597
209,104.500,2.571
210,105.000,2.462
211,105.500,2.744
212,106.000,2.373
213,106.500,2.593
214,107.000,2.687
215,107.500,2.504
216,108.000,3.014
217,108.500,2.739
218,109.000,2.697
219,109.500,2.461
220,110.000,2.564
221,110.500,2.719
222,111.000,2.527
223,111.500,2.654
224,112.000,2.731
225,112.500,3.099
226,113.000,2.787
227,113.500,2.774
228,114.000,2.921
229,114.500,2.850
230,115.000,3.039
231,115.500,2.936
232,116.000,2.726
233,116.500,2.715
234,117.000,2.819
235,117.500,3.093
236,118.000,2.747
237,118.500,2.765
238,119.000,2.941
239,119.500,2.586
240,120.000,2.779
241,120.500,3.434
242,121.000,3.419
243,121.500,3.609
244,122.000,3.687
245,122.500,3.045
246,123.000,3.461
247,123.500,3.124
248,124.000,3.799
249,124.500,4.139
250,125.000,3.622
251,125.500,3.388
252,126.000,3.281
253,126.500,3.700
254,127.000,4.500
255,127.500,3.628
256,128.000,3.499
257,128.500,3.751
258,129.000,3.143
259,129.500,3.659
260,130.000,3.312
261,130.500,3.493
262,131.000,3.486
263,131.500,3.545
264,132.000,3.151
265,132.500,3.415
266,133.000,3.359
267,133.500,3.616
268,134.000,3.534
269,134.500,3.443
270,135.000,3.972
271,135.500,3.798
272,136.000,4.058
273,136.500,4.330
274,137.000,4.379
275,137.500,4.470
276,138.000,5.091
277,138.500,5.399
278,139.000,5.058
279,139.500,4.332
280,140.000,4.903
281,140.500,5.558
282,141.000,5.212
283,141.500,3.913
284,142.000,4.358
285,142.500,4.723
286,143.000,4.255
287,143.500,4.829
288,144.000,3.925
289,144.500,4.648
290,145.000,5.273
291,145.500,5.256
292,146.000,5.496
293,146.500,5.159
294,147.000,4.657
295,147.500,5.859
296,148.000,5.432
297,148.500,5.671
298,149.000,6.268
299,149.500,5.829
300,150.000,5.700
