Time_ns,H-CDR1,H-CDR2,H-CDR3,L-CDR1,L-CDR2,L-CDR3
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.500,1.751,1.492,1.606,3.512,1.801,1.348
1.000,2.505,3.318,1.771,2.153,1.785,2.135
1.500,2.995,4.625,2.038,4.267,2.201,2.429
2.000,3.878,6.521,2.113,4.854,3.226,3.205
2.500,2.913,5.896,2.442,2.687,2.385,3.500
3.000,2.150,4.213,2.581,2.587,2.101,3.643
3.500,3.550,5.131,2.294,2.463,1.763,2.301
4.000,3.465,6.517,2.403,2.397,2.428,3.767
4.500,4.601,7.123,2.710,3.582,3.143,3.229
5.000,9.869,10.339,5.391,4.391,2.293,4.035
5.500,8.692,11.670,3.938,3.547,2.295,4.096
6.000,12.095,12.237,5.925,7.968,3.916,5.525
6.500,9.273,9.996,4.754,5.158,2.850,3.094
7.000,10.294,8.702,5.181,6.908,4.022,3.699
7.500,13.096,12.867,6.380,6.754,3.317,3.789
8.000,13.701,13.625,7.379,7.664,3.564,5.238
8.500,13.754,12.342,6.853,7.920,3.677,5.683
9.000,13.400,12.610,5.748,6.268,2.768,4.151
9.500,11.894,11.265,5.846,6.758,3.048,5.322
10.000,11.064,11.302,5.302,5.683,3.420,4.637
10.500,10.084,11.024,4.588,4.403,2.174,3.726
11.000,13.252,13.456,6.268,4.604,2.797,4.887
11.500,9.142,10.908,4.115,3.808,1.935,3.578
12.000,10.245,9.799,4.817,5.772,2.788,3.359
12.500,8.254,8.685,4.051,4.524,2.408,2.725
13.000,11.070,11.747,5.560,6.213,2.837,4.877
13.500,13.145,13.192,6.701,6.936,3.508,5.418
14.000,11.211,9.896,5.375,6.510,2.828,5.056
14.500,10.021,9.508,4.578,5.785,2.357,3.837
15.000,13.274,13.380,6.662,6.625,2.970,5.639
15.500,10.567,10.452,4.932,5.501,1.935,4.428
16.000,12.192,13.169,6.322,7.672,3.070,6.606
16.500,13.063,12.427,6.125,6.617,2.503,5.559
17.000,13.757,13.784,6.059,6.591,2.031,6.271
17.500,11.876,12.548,5.330,6.406,2.304,5.878
18.000,11.748,12.871,5.218,5.686,2.155,4.866
18.500,13.166,12.669,5.718,6.863,2.404,5.468
19.000,12.929,10.675,5.501,7.585,2.882,5.875
19.500,11.279,11.320,5.313,6.424,2.057,5.775
20.000,9.502,11.090,4.118,4.946,2.082,4.814
20.500,10.861,11.113,5.112,7.379,2.375,5.838
21.000,14.702,13.954,7.621,8.264,2.919,8.292
21.500,11.530,12.335,5.030,6.015,1.773,4.680
22.000,12.347,12.334,5.628,8.495,2.950,6.791
22.500,11.278,11.970,5.627,6.580,2.186,6.185
23.000,9.629,9.703,4.708,6.556,1.677,4.859
23.500,9.715,10.345,4.237,5.785,2.251,4.199
24.000,9.791,10.285,4.067,5.730,2.086,4.700
24.500,8.395,9.339,3.642,6.086,1.690,5.102
25.000,11.780,11.490,5.364,6.283,1.893,4.994
25.500,11.782,12.236,5.492,6.165,1.915,5.201
26.000,11.263,11.532,4.851,4.927,1.485,4.348
26.500,11.821,12.468,5.434,6.664,2.732,5.422
27.000,10.715,12.384,4.821,5.154,2.331,5.891
27.500,11.427,11.706,5.126,5.404,1.764,4.422
28.000,11.084,11.772,4.706,5.714,2.441,5.188
28.500,11.369,13.163,5.002,5.887,2.453,6.012
29.000,9.431,10.731,3.842,5.373,2.942,3.987
29.500,11.195,11.373,5.044,6.127,2.919,5.045
30.000,10.014,10.170,4.261,3.651,1.673,3.802
30.500,6.766,6.844,2.622,2.915,1.412,2.856
31.000,10.615,11.203,4.320,4.466,2.399,4.393
31.500,11.463,11.875,5.486,5.764,2.819,4.453
32.000,9.824,10.480,4.088,4.181,1.804,3.496
32.500,11.184,11.989,4.823,4.920,1.846,4.225
33.000,11.381,11.513,5.378,6.242,2.583,5.436
33.500,9.271,10.853,4.683,5.051,1.818,5.924
34.000,14.522,13.574,6.775,7.603,3.294,6.231
34.500,12.972,12.869,5.966,7.209,2.817,6.135
35.000,14.222,12.635,6.874,9.920,4.002,7.922
35.500,14.176,14.839,8.103,9.694,3.942,9.282
36.000,15.608,16.024,8.183,9.538,4.036,9.931
36.500,10.574,12.155,4.318,6.760,2.458,5.212
37.000,12.497,12.799,5.427,7.692,3.057,5.529
37.500,8.761,7.922,3.470,5.911,1.907,3.405
38.000,11.663,10.814,5.501,7.778,2.748,5.696
38.500,9.509,9.370,3.595,6.162,2.109,3.511
39.000,12.536,11.662,5.621,7.683,2.487,5.657
39.500,12.750,12.300,5.641,7.784,1.843,5.953
40.000,14.228,14.217,7.286,9.212,3.373,7.843
40.500,14.101,15.100,6.465,7.554,2.881,6.432
41.000,13.813,12.271,7.120,9.251,3.861,6.653
41.500,13.350,13.475,6.392,8.764,3.172,7.119
42.000,13.950,14.072,7.485,9.759,3.605,8.850
42.500,11.644,12.144,6.168,8.630,2.928,7.790
43.000,8.548,10.052,4.491,5.415,2.604,4.180
43.500,13.353,13.909,6.786,8.244,3.240,7.154
44.000,11.657,12.790,5.464,7.548,2.150,6.795
44.500,11.424,13.229,5.384,7.604,2.878,6.827
45.000,10.178,12.061,4.830,6.843,2.617,5.853
45.500,10.218,10.927,4.891,6.983,2.533,5.046
46.000,10.168,9.481,4.503,6.541,2.457,4.661
46.500,13.543,12.948,6.410,7.863,2.357,6.948
47.000,12.820,12.965,6.136,8.807,2.931,7.614
47.500,14.702,14.833,7.146,8.493,3.245,7.742
48.000,15.411,15.703,7.453,10.017,3.712,9.054
48.500,14.674,15.191,7.208,8.564,3.489,7.826
49.000,9.111,9.771,4.149,6.502,2.364,5.165
49.500,11.002,10.856,4.693,6.940,2.738,5.169
50.000,10.173,9.795,4.425,6.793,2.776,4.811
50.500,10.044,10.774,4.289,5.923,2.177,4.426
51.000,11.003,11.260,4.519,7.047,2.844,5.438
51.500,9.929,9.221,4.543,6.027,2.282,4.311
52.000,12.668,12.375,5.994,7.799,3.958,7.347
52.500,13.236,13.770,6.639,6.396,3.350,5.736
53.000,13.023,12.337,6.930,8.144,3.687,7.516
53.500,12.709,12.974,5.400,7.881,2.765,6.709
54.000,14.748,14.274,7.051,8.694,2.897,7.830
54.500,14.855,13.968,7.169,9.771,3.453,8.764
55.000,16.785,15.927,8.482,10.177,3.910,10.772
55.500,16.260,16.275,8.644,9.631,4.031,9.612
56.000,16.215,14.880,7.975,10.268,3.567,10.358
56.500,16.280,16.083,7.482,8.991,3.554,9.545
57.000,17.168,16.400,8.534,9.983,3.430,9.821
57.500,17.823,18.296,8.914,9.966,3.168,10.790
58.000,16.358,15.067,8.225,9.558,3.642,9.623
58.500,17.695,16.824,8.664,9.510,3.621,9.913
59.000,13.755,12.708,6.768,8.749,3.760,7.535
59.500,16.625,16.528,8.440,10.005,4.185,10.725
60.000,17.567,17.163,9.036,9.611,4.362,10.375
60.500,17.790,17.663,8.869,10.124,3.327,11.443
61.000,17.018,16.897,8.391,10.778,3.960,11.098
61.500,14.600,14.066,6.527,9.028,2.978,7.952
62.000,13.002,12.652,5.569,6.801,3.080,5.871
62.500,16.716,15.917,7.983,9.071,3.580,9.233
63.000,16.069,14.260,7.305,8.271,3.709,8.817
63.500,13.204,12.536,6.348,6.792,3.476,6.183
64.000,15.268,13.866,7.207,7.562,3.230,7.608
64.500,15.259,12.822,7.072,7.797,3.529,7.137
65.000,13.615,13.555,5.825,6.937,2.489,6.549
65.500,13.169,12.639,6.521,7.730,3.713,7.837
