Time_ns,H-CDR1,H-CDR2,H-CDR3,L-CDR1,L-CDR2,L-CDR3
66.000,13.237,10.987,6.047,7.321,2.663,6.857
66.500,15.452,15.959,6.708,7.217,2.709,7.748
67.000,18.068,16.761,9.598,9.829,3.763,9.748
67.500,18.389,18.352,9.143,9.123,3.576,8.675
68.000,14.301,13.331,6.421,7.769,2.514,6.251
68.500,16.387,15.796,8.768,9.060,3.437,8.101
69.000,15.760,15.440,8.136,9.336,3.260,8.976
69.500,17.946,18.112,8.714,8.594,3.358,7.962
70.000,17.284,17.124,8.332,8.608,2.824,8.035
70.500,11.235,11.749,5.434,7.068,2.422,5.511
71.000,14.025,15.392,6.592,7.617,2.871,6.424
71.500,16.833,16.619,8.526,9.012,3.683,8.187
72.000,15.134,14.855,7.195,7.869,3.225,6.384
72.500,15.720,13.763,7.196,8.586,3.527,7.535
73.000,17.279,16.309,7.963,7.597,3.150,6.911
73.500,17.416,16.299,8.229,9.268,3.597,8.607
74.000,18.009,15.594,8.262,10.574,4.193,9.622
74.500,14.889,13.825,6.448,8.109,3.299,7.770
75.000,16.547,14.315,8.206,9.480,3.782,9.076
75.500,16.988,15.846,7.976,9.058,3.680,8.666
76.000,13.662,14.025,6.483,7.167,2.655,6.620
76.500,15.984,16.726,6.969,7.542,3.090,7.183
77.000,12.748,12.684,5.212,7.915,3.133,4.795
77.500,13.230,13.404,5.492,7.080,2.391,4.960
78.000,15.025,14.897,6.535,7.163,2.969,6.204
78.500,16.491,15.085,7.742,8.880,3.696,7.748
79.000,15.247,14.239,6.695,6.317,3.339,5.425
79.500,14.502,12.719,6.528,8.415,3.102,7.432
80.000,15.160,14.564,6.820,8.501,2.949,7.700
80.500,14.075,14.031,6.217,7.512,2.637,6.471
81.000,15.805,14.533,7.205,8.243,3.187,6.868
81.500,20.651,19.682,9.261,9.119,3.701,10.000
82.000,16.260,15.223,7.252,8.216,3.033,7.511
82.500,12.799,12.793,5.286,6.364,2.519,4.656
83.000,14.330,14.136,5.528,6.436,2.494,5.129
83.500,16.318,16.558,6.826,7.022,2.947,5.765
84.000,16.825,15.201,6.910,6.941,2.662,6.321
84.500,12.655,11.801,4.645,7.388,2.755,5.320
85.000,15.694,14.925,6.863,7.593,3.043,6.767
85.500,18.064,15.518,7.715,8.331,3.607,7.855
86.000,17.923,16.999,7.961,7.579,3.298,7.871
86.500,18.038,16.608,7.964,8.223,3.118,8.002
87.000,13.679,13.320,5.984,6.513,2.254,5.810
87.500,17.350,16.700,7.279,6.976,2.541,7.226
88.000,16.011,14.498,7.035,7.509,2.549,6.891
88.500,19.197,17.794,8.395,7.878,3.329,7.727
89.000,19.178,17.567,8.826,8.561,3.545,8.319
89.500,19.891,18.938,9.616,8.401,4.040,8.719
90.000,16.636,16.053,6.845,8.029,2.587,7.014
90.500,18.729,17.622,7.951,9.458,3.241,8.565
91.000,18.851,18.221,8.879,8.887,3.370,9.018
91.500,21.826,19.392,10.220,10.116,4.246,10.290
92.000,17.672,16.572,8.405,9.537,3.733,8.867
92.500,17.415,15.765,7.922,8.367,3.075,8.180
93.000,19.662,19.059,9.254,9.475,3.757,10.388
93.500,15.862,14.640,6.607,7.478,3.399,6.891
94.000,19.165,17.496,9.214,9.604,3.690,9.331
94.500,17.055,16.601,7.058,8.137,2.835,8.043
95.000,16.118,14.567,7.002,8.287,3.332,7.773
95.500,20.376,18.781,9.531,9.101,3.839,9.580
96.000,15.522,15.470,7.091,7.118,2.751,6.233
96.500,17.501,17.073,8.175,8.801,3.560,8.479
97.000,17.386,16.126,8.083,8.368,3.496,7.865
97.500,17.508,15.721,8.599,8.410,3.755,7.966
98.000,14.283,15.611,6.255,6.895,2.545,6.298
98.500,16.054,14.786,6.642,7.668,2.541,6.149
99.000,18.536,17.280,8.914,8.713,4.183,8.670
99.500,16.831,17.283,8.213,8.777,3.661,8.030
100.000,15.273,15.609,7.901,8.572,3.184,9.698
100.500,14.437,13.210,6.674,8.045,3.092,7.878
101.000,16.403,16.584,8.023,8.993,3.379,9.363
101.500,13.981,14.308,6.709,6.871,3.142,6.951
102.000,13.962,14.612,6.960,8.229,3.684,7.850
102.500,11.702,11.099,5.990,6.832,3.137,6.036
103.000,12.347,12.826,5.507,6.555,2.616,6.865
103.500,15.520,15.264,7.555,8.064,3.477,8.607
104.000,17.032,15.905,8.603,7.506,3.207,7.791
104.500,11.856,12.398,4.981,7.040,2.685,7.067
105.000,13.505,13.280,6.532,6.415,3.154,6.921
105.500,10.923,11.248,4.176,6.612,2.377,5.823
106.000,12.474,12.384,5.124,8.023,2.721,7.630
106.500,11.160,9.892,4.718,5.826,2.938,5.296
107.000,12.876,12.729,5.020,6.471,2.039,5.722
107.500,14.501,13.107,5.436,6.810,2.254,5.614
108.000,17.023,15.727,7.514,7.181,2.549,6.977
108.500,15.775,15.195,6.674,7.110,3.056,6.415
109.000,10.477,9.425,4.189,5.535,1.982,3.852
109.500,7.430,7.869,4.148,3.629,2.758,2.053
110.000,11.155,11.798,4.216,5.025,2.848,3.976
110.500,8.191,8.853,3.144,4.753,2.406,3.166
111.000,8.726,8.663,3.651,4.761,2.386,3.299
111.500,6.314,6.178,3.606,3.818,2.661,2.487
112.000,7.964,7.308,3.569,5.848,2.701,3.533
112.500,9.960,7.538,4.290,5.584,3.131,3.069
113.000,7.445,7.923,3.470,3.259,2.640,2.529
113.500,7.653,6.385,3.470,3.819,3.016,2.265
114.000,8.912,9.046,3.676,4.614,3.074,3.818
114.500,9.879,9.402,4.590,5.532,3.116,3.930
115.000,11.155,10.814,4.908,6.327,3.218,4.139
115.500,12.337,10.735,5.661,6.071,3.041,4.500
116.000,9.106,9.801,4.665,4.728,3.092,3.727
116.500,10.392,10.653,4.946,4.924,3.187,4.867
117.000,10.027,9.300,4.530,4.130,2.963,3.956
117.500,9.286,9.276,3.878,5.244,2.860,4.007
118.000,11.005,9.732,5.440,5.428,3.462,3.812
118.500,9.164,8.763,4.355,4.153,2.935,2.340
119.000,12.819,12.638,5.504,4.426,3.264,4.450
119.500,11.959,12.394,5.533,4.329,2.842,4.407
120.000,11.197,10.762,5.371,4.889,3.228,4.251
120.500,13.379,11.450,5.260,6.495,2.281,6.407
121.000,10.201,10.750,4.915,6.090,2.627,5.392
121.500,10.391,9.504,4.914,5.722,2.783,4.188
122.000,10.974,11.018,4.883,6.079,2.925,4.673
122.500,15.252,13.314,7.438,8.195,3.574,7.849
123.000,11.912,12.093,5.747,7.668,2.701,6.786
123.500,11.310,10.621,5.626,6.768,2.696,5.446
124.000,13.652,11.984,6.822,7.105,3.475,6.192
124.500,10.124,8.344,4.148,6.934,2.670,4.834
125.000,10.409,9.159,5.010,7.447,3.254,5.906
125.500,9.557,8.965,5.084,5.362,3.260,4.630
126.000,10.835,9.788,5.269,5.868,3.436,5.335
126.500,12.789,12.377,7.014,7.950,3.477,7.280
127.000,13.329,12.603,6.965,7.607,3.487,7.340
127.500,13.445,13.006,7.236,8.224,3.740,7.999
128.000,12.371,11.517,5.992,6.761,2.848,6.483
128.500,11.676,9.696,5.742,7.385,3.223,6.040
129.000,13.993,13.120,7.694,7.971,3.353,8.284
129.500,14.079,13.226,7.340,7.606,3.412,7.189
130.000,14.193,12.724,6.524,7.478,2.678,7.048
130.500,13.756,12.310,7.079,7.649,3.127,7.478
131.000,14.355,14.316,8.043,7.843,3.384,7.787
131.500,14.950,15.178,8.175,8.610,3.529,8.946
132.000,13.717,13.206,7.574,8.164,3.215,8.575
132.500,12.063,12.236,6.650,7.649,3.284,7.903
133.000,13.268,13.026,6.698,7.561,2.892,7.100
133.500,13.361,11.835,6.778,7.520,3.036,7.204
134.000,13.792,13.882,7.596,8.263,3.704,8.591
134.500,10.598,9.336,5.238,7.128,2.664,6.128
135.000,15.834,15.065,7.408,9.000,3.101,9.912
135.500,14.746,14.459,7.181,7.836,3.479,8.268
136.000,14.178,13.773,7.101,7.412,3.388,8.463
136.500,12.737,12.066,6.465,8.102,3.314,7.298
137.000,13.130,12.848,7.461,8.790,3.711,9.165
137.500,14.227,13.392,7.397,8.691,3.330,9.317
138.000,16.239,14.760,8.557,9.409,4.375,9.660
138.500,14.488,13.839,7.652,7.498,3.496,8.049
139.000,10.426,10.959,5.333,4.218,2.743,4.608
139.500,12.288,13.895,6.792,6.678,2.774,7.062
140.000,12.571,12.811,6.830,6.132,3.019,6.222
140.500,16.368,18.032,8.193,8.226,3.273,8.544
141.000,14.291,14.141,6.945,6.798,3.600,7.869
141.500,14.460,12.051,6.404,6.248,3.500,6.790
142.000,10.752,9.114,4.844,4.786,2.575,3.539
142.500,10.826,8.070,4.816,6.129,3.307,4.029
143.000,11.063,7.650,4.952,6.322,3.623,4.612
143.500,10.409,8.200,5.283,4.265,3.624,3.441
144.000,12.336,9.134,5.696,6.569,3.361,5.771
144.500,12.872,8.989,6.985,5.491,4.617,6.256
145.000,10.399,7.445,4.561,4.722,2.995,3.287
145.500,9.731,6.370,5.066,6.414,3.776,5.139
146.000,8.196,6.322,4.600,3.842,2.977,2.343
146.500,7.613,5.589,4.146,3.915,2.797,2.250
147.000,8.497,6.461,4.359,4.468,2.427,2.638
147.500,8.860,7.737,4.836,5.583,3.755,4.408
148.000,13.438,11.747,6.429,5.756,3.857,6.320
148.500,11.697,10.801,5.555,3.998,3.016,4.567
149.000,12.312,10.862,6.111,5.976,3.935,5.306
149.500,12.993,10.321,6.311,4.993,3.720,4.592
150.000,13.059,11.227,6.603,5.706,3.958,5.770
