Frame,Time_ns,RMSD_A
251,125.500,5.774
252,126.000,6.089
253,126.500,6.060
254,127.000,5.618
255,127.500,5.570
256,128.000,5.539
257,128.500,5.381
258,129.000,5.504
259,129.500,5.999
260,130.000,5.712
261,130.500,5.535
262,131.000,5.822
263,131.500,5.325
264,132.000,5.934
265,132.500,6.742
266,133.000,5.810
267,133.500,5.837
268,134.000,5.334
269,134.500,5.441
270,135.000,5.904
271,135.500,5.454
272,136.000,5.732
273,136.500,5.485
274,137.000,5.529
275,137.500,5.695
276,138.000,5.712
277,138.500,5.639
278,139.000,6.031
279,139.500,6.387
280,140.000,6.044
281,140.500,5.874
282,141.000,6.050
283,141.500,6.152
284,142.000,5.926
285,142.500,6.432
286,143.000,5.766
287,143.500,5.690
288,144.000,5.387
289,144.500,5.521
290,145.000,5.430
291,145.500,5.564
292,146.000,5.463
293,146.500,5.406
294,147.000,5.167
295,147.500,5.494
296,148.000,5.574
297,148.500,5.589
298,149.000,5.614
299,149.500,5.520
300,150.000,5.474
