Frame,Time_ns,RMSD_A
0,0.000,0.000
1,0.500,2.011
2,1.000,2.173
3,1.500,2.139
4,2.000,2.883
5,2.500,2.104
6,3.000,2.314
7,3.500,2.502
8,4.000,2.368
9,4.500,1.831
10,5.000,2.683
11,5.500,3.165
12,6.000,2.979
13,6.500,3.277
14,7.000,3.715
15,7.500,3.550
16,8.000,3.230
17,8.500,4.165
18,9.000,3.493
19,9.500,3.482
20,10.000,3.549
21,10.500,3.486
22,11.000,3.421
23,11.500,3.439
24,12.000,2.997
25,12.500,3.019
26,13.000,2.533
27,13.500,2.634
28,14.000,3.504
29,14.500,3.149
30,15.000,3.582
31,15.500,3.009
32,16.000,3.131
33,16.500,3.045
34,17.000,2.959
35,17.500,3.253
36,18.000,3.538
37,18.500,3.035
38,19.000,3.846
39,19.500,3.312
40,20.000,3.130
41,20.500,3.032
42,21.000,2.997
43,21.500,3.037
44,22.000,3.574
45,22.500,4.407
46,23.000,3.451
47,23.500,3.516
48,24.000,4.552
49,24.500,4.534
50,25.000,4.357
51,25.500,4.603
52,26.000,4.160
53,26.500,4.951
54,27.000,4.483
55,27.500,5.054
56,28.000,5.469
57,28.500,5.454
58,29.000,5.845
59,29.500,5.548
60,30.000,5.133
61,30.500,4.898
62,31.000,6.553
63,31.500,5.710
64,32.000,6.063
65,32.500,5.558
66,33.000,6.381
67,33.500,6.525
68,34.000,5.793
69,34.500,5.884
70,35.000,5.923
71,35.500,6.680
72,36.000,6.498
73,36.500,6.456
74,37.000,6.696
75,37.500,6.437
76,38.000,6.358
77,38.500,6.022
78,39.000,6.363
79,39.500,6.488
80,40.000,7.273
81,40.500,6.204
82,41.000,6.137
83,41.500,7.250
84,42.000,7.421
85,42.500,8.005
86,43.000,8.376
87,43.500,7.405
88,44.000,7.385
89,44.500,7.246
90,45.000,7.756
91,45.500,7.163
92,46.000,7.062
93,46.500,6.943
94,47.000,7.194
95,47.500,6.957
96,48.000,8.052
97,48.500,7.404
98,49.000,8.873
99,49.500,7.819
100,50.000,8.255
101,50.500,7.836
102,51.000,7.508
103,51.500,7.574
104,52.000,7.624
105,52.500,7.485
106,53.000,7.914
107,53.500,7.547
108,54.000,7.468
109,54.500,8.661
110,55.000,8.141
111,55.500,8.856
112,56.000,7.528
113,56.500,7.336
114,57.000,7.180
115,57.500,6.765
116,58.000,6.755
117,58.500,7.290
118,59.000,6.819
119,59.500,6.633
120,60.000,6.618
121,60.500,6.121
122,61.000,6.821
123,61.500,6.829
124,62.000,6.347
125,62.500,7.401
126,63.000,7.639
127,63.500,7.414
128,64.000,7.469
129,64.500,7.470
130,65.000,7.229
131,65.500,7.562
132,66.000,7.667
133,66.500,7.822
134,67.000,7.924
135,67.500,7.236
136,68.000,7.713
137,68.500,7.143
138,69.000,7.495
139,69.500,7.455
140,70.000,7.591
141,70.500,7.857
142,71.000,7.663
143,71.500,7.543
144,72.000,7.266
145,72.500,7.422
146,73.000,8.004
147,73.500,8.018
148,74.000,7.266
149,74.500,8.233
150,75.000,8.160
151,75.500,8.082
152,76.000,7.786
153,76.500,7.933
154,77.000,7.597
155,77.500,7.348
156,78.000,7.751
157,78.500,7.680
158,79.000,7.240
159,79.500,6.689
160,80.000,7.318
161,80.500,7.556
162,81.000,7.116
163,81.500,8.405
164,82.000,8.285
165,82.500,8.075
166,83.000,7.711
167,83.500,7.622
168,84.000,7.482
169,84.500,7.391
170,85.000,6.370
171,85.500,6.972
172,86.000,8.021
173,86.500,6.823
174,87.000,7.161
175,87.500,7.102
176,88.000,7.254
177,88.500,6.998
178,89.000,6.920
179,89.500,7.088
180,90.000,7.192
181,90.500,6.283
182,91.000,6.337
183,91.500,6.208
184,92.000,5.937
185,92.500,6.012
186,93.000,5.286
187,93.500,5.390
188,94.000,4.278
189,94.500,4.616
190,95.000,5.599
191,95.500,5.633
192,96.000,6.946
193,96.500,6.779
194,97.000,7.066
195,97.500,7.318
196,98.000,6.868
197,98.500,6.365
198,99.000,7.744
199,99.500,7.792
200,100.000,7.201
201,100.500,7.879
202,101.000,6.529
203,101.500,6.182
204,102.000,6.957
205,102.500,6.630
206,103.000,6.429
207,103.500,6.193
208,104.000,6.419
209,104.500,6.169
210,105.000,6.516
211,105.500,6.486
212,106.000,6.613
213,106.500,7.366
214,107.000,6.010
215,107.500,6.128
216,108.000,6.305
217,108.500,6.263
218,109.000,6.275
219,109.500,6.109
220,110.000,6.308
221,110.500,6.555
222,111.000,6.760
223,111.500,6.945
224,112.000,6.764
225,112.500,6.035
226,113.000,6.198
227,113.500,6.801
228,114.000,6.619
229,114.500,7.443
230,115.000,6.829
231,115.500,6.307
232,116.000,6.204
233,116.500,5.788
234,117.000,6.010
235,117.500,6.482
236,118.000,6.812
237,118.500,6.248
238,119.000,5.889
239,119.500,5.573
240,120.000,5.511
241,120.500,5.303
242,121.000,5.352
243,121.500,5.900
244,122.000,5.625
245,122.500,5.317
246,123.000,5.022
247,123.500,5.292
248,124.000,5.191
249,124.500,5.467
250,125.000,6.146
