Frame,Time_ns,RMSD_pHLA_fit_A,RMSD_antibody_A
181,90.500,2.435,14.844
182,91.000,2.228,16.129
183,91.500,2.537,15.396
184,92.000,2.123,14.950
185,92.500,2.302,14.076
186,93.000,2.000,11.885
187,93.500,1.961,9.974
188,94.000,1.970,7.343
189,94.500,2.121,9.036
190,95.000,2.433,10.954
191,95.500,2.390,9.370
192,96.000,2.268,12.906
193,96.500,2.084,14.921
194,97.000,1.926,16.248
195,97.500,2.202,19.999
196,98.000,2.207,18.412
197,98.500,2.179,17.030
198,99.000,2.278,18.049
199,99.500,2.253,18.045
200,100.000,2.394,18.173
201,100.500,2.331,19.819
202,101.000,2.064,17.750
203,101.500,2.226,15.840
204,102.000,2.142,16.748
205,102.500,1.807,17.204
206,103.000,1.671,16.695
207,103.500,2.197,14.880
208,104.000,1.789,17.377
209,104.500,1.969,16.786
210,105.000,1.918,17.622
211,105.500,1.925,16.472
212,106.000,1.783,17.255
213,106.500,1.777,20.852
214,107.000,1.855,15.514
215,107.500,1.838,16.559
216,108.000,1.839,17.663
217,108.500,1.869,16.380
218,109.000,1.722,17.120
219,109.500,1.878,15.465
220,110.000,2.172,16.756
221,110.500,2.012,13.709
222,111.000,1.855,16.580
223,111.500,1.850,16.693
224,112.000,1.753,16.456
225,112.500,2.110,12.737
226,113.000,2.384,12.710
227,113.500,2.394,11.820
228,114.000,2.262,12.415
229,114.500,2.453,11.420
230,115.000,2.249,11.699
231,115.500,2.452,10.965
232,116.000,2.510,10.170
233,116.500,2.373,9.026
234,117.000,2.138,11.118
235,117.500,2.288,12.666
236,118.000,1.734,12.613
237,118.500,1.604,9.678
238,119.000,1.729,10.576
239,119.500,2.116,9.958
240,120.000,2.012,9.181
241,120.500,1.933,9.144
242,121.000,1.927,9.118
243,121.500,1.829,9.903
244,122.000,1.730,9.827
245,122.500,1.923,8.055
246,123.000,1.660,8.692
247,123.500,1.613,8.928
248,124.000,1.844,8.747
249,124.500,1.674,8.664
250,125.000,2.323,9.425
251,125.500,2.061,9.058
252,126.000,1.807,9.976
253,126.500,2.072,9.666
254,127.000,1.956,10.164
255,127.500,1.888,8.513
256,128.000,2.046,8.441
257,128.500,1.889,8.867
258,129.000,1.906,8.868
259,129.500,1.938,9.787
260,130.000,1.950,10.413
261,130.500,2.080,9.874
262,131.000,1.971,9.756
263,131.500,1.959,9.299
264,132.000,1.915,8.877
265,132.500,1.949,12.907
266,133.000,2.119,9.867
267,133.500,2.295,9.837
268,134.000,2.072,9.281
269,134.500,2.145,8.985
270,135.000,2.086,11.274
271,135.500,2.070,8.897
272,136.000,2.313,11.341
273,136.500,2.251,10.666
274,137.000,1.895,9.338
275,137.500,1.877,10.430
276,138.000,1.911,10.899
277,138.500,2.519,9.890
278,139.000,2.065,10.743
279,139.500,2.127,12.030
280,140.000,1.686,13.321
281,140.500,2.105,10.907
282,141.000,2.012,11.828
283,141.500,1.998,11.913
284,142.000,1.824,11.262
285,142.500,1.996,13.803
286,143.000,1.838,12.404
287,143.500,1.899,11.355
288,144.000,1.823,10.159
289,144.500,1.882,10.635
290,145.000,2.070,11.128
291,145.500,1.839,10.465
292,146.000,2.154,10.316
293,146.500,1.941,9.861
294,147.000,1.937,9.190
295,147.500,1.835,10.785
296,148.000,1.742,9.983
297,148.500,2.098,10.581
298,149.000,1.866,10.448
299,149.500,1.777,10.615
300,150.000,2.002,9.751
