Frame,Time_ns,RMSD_pHLA_fit_A,RMSD_antibody_A
0,0.000,0.000,0.000
1,0.500,0.944,3.607
2,1.000,1.039,4.410
3,1.500,0.972,4.230
4,2.000,1.107,7.748
5,2.500,1.189,5.050
6,3.000,1.115,5.058
7,3.500,0.916,6.737
8,4.000,1.055,5.518
9,4.500,1.105,3.544
10,5.000,1.166,6.572
11,5.500,1.090,7.884
12,6.000,1.086,6.463
13,6.500,0.921,7.655
14,7.000,1.077,8.614
15,7.500,1.237,8.045
16,8.000,1.227,6.565
17,8.500,1.133,9.152
18,9.000,1.097,8.474
19,9.500,1.185,8.686
20,10.000,1.132,9.070
21,10.500,1.180,7.092
22,11.000,1.120,7.660
23,11.500,1.169,7.537
24,12.000,1.159,5.898
25,12.500,1.256,6.068
26,13.000,1.126,5.336
27,13.500,1.147,5.702
28,14.000,1.139,5.735
29,14.500,1.535,7.239
30,15.000,1.836,7.587
31,15.500,1.550,6.940
32,16.000,1.520,7.272
33,16.500,1.551,6.529
34,17.000,1.366,5.781
35,17.500,1.542,7.986
36,18.000,1.568,8.940
37,18.500,1.625,7.466
38,19.000,1.608,9.447
39,19.500,1.556,7.248
40,20.000,2.107,5.851
41,20.500,2.031,6.141
42,21.000,1.775,6.224
43,21.500,1.807,6.172
44,22.000,1.931,7.353
45,22.500,1.955,11.974
46,23.000,1.909,8.323
47,23.500,2.029,8.477
48,24.000,2.036,11.698
49,24.500,1.935,10.949
50,25.000,2.177,9.937
51,25.500,2.002,11.382
52,26.000,1.814,10.520
53,26.500,1.851,11.939
54,27.000,2.161,11.732
55,27.500,2.040,13.228
56,28.000,1.948,14.257
57,28.500,1.962,13.981
58,29.000,1.807,14.506
59,29.500,1.984,13.497
60,30.000,2.045,11.984
61,30.500,1.874,13.212
62,31.000,1.596,15.258
63,31.500,2.051,14.378
64,32.000,2.088,15.771
65,32.500,2.170,16.007
66,33.000,2.022,17.884
67,33.500,2.095,16.619
68,34.000,1.651,15.689
69,34.500,1.716,15.394
70,35.000,1.817,15.489
71,35.500,1.850,15.852
72,36.000,1.557,15.852
73,36.500,1.597,16.070
74,37.000,1.598,16.765
75,37.500,1.469,16.310
76,38.000,1.925,15.207
77,38.500,1.686,14.435
78,39.000,1.773,14.661
79,39.500,1.881,14.894
80,40.000,1.661,17.526
81,40.500,1.800,14.898
82,41.000,1.739,15.232
83,41.500,1.553,17.323
84,42.000,1.779,19.112
85,42.500,2.011,19.501
86,43.000,2.074,20.594
87,43.500,1.915,17.153
88,44.000,2.143,16.340
89,44.500,1.871,15.975
90,45.000,1.829,17.121
91,45.500,1.931,15.349
92,46.000,1.736,16.088
93,46.500,1.652,16.000
94,47.000,1.724,16.736
95,47.500,1.661,15.450
96,48.000,1.731,17.741
97,48.500,1.838,17.288
98,49.000,1.929,18.462
99,49.500,2.004,17.979
100,50.000,2.148,16.930
101,50.500,2.149,16.347
102,51.000,2.201,15.550
103,51.500,2.228,16.252
104,52.000,2.167,16.649
105,52.500,2.147,16.639
106,53.000,2.059,17.325
107,53.500,1.875,15.927
108,54.000,2.122,17.248
109,54.500,2.242,19.067
110,55.000,1.810,18.036
111,55.500,2.255,19.524
112,56.000,2.189,17.450
113,56.500,2.106,16.282
114,57.000,1.883,15.783
115,57.500,1.797,14.951
116,58.000,2.003,14.993
117,58.500,1.977,16.294
118,59.000,1.998,14.639
119,59.500,2.109,15.046
120,60.000,1.988,14.528
121,60.500,2.021,14.095
122,61.000,1.901,15.761
123,61.500,2.011,16.015
124,62.000,2.125,15.640
125,62.500,2.140,16.687
126,63.000,1.953,18.053
127,63.500,1.995,17.471
128,64.000,2.022,17.138
129,64.500,2.112,16.609
130,65.000,2.256,16.310
131,65.500,2.110,17.719
132,66.000,2.061,18.368
133,66.500,1.655,17.806
134,67.000,2.031,18.879
135,67.500,1.765,16.266
136,68.000,1.839,17.273
137,68.500,1.806,16.320
138,69.000,1.733,17.140
139,69.500,1.805,17.167
140,70.000,2.021,17.499
141,70.500,1.762,17.464
142,71.000,1.685,17.812
143,71.500,1.801,16.992
144,72.000,1.880,15.784
145,72.500,1.844,16.315
146,73.000,1.653,17.499
147,73.500,1.884,17.731
148,74.000,1.604,16.852
149,74.500,1.919,18.649
150,75.000,1.897,18.082
151,75.500,1.556,18.038
152,76.000,1.966,16.751
153,76.500,1.560,17.871
154,77.000,1.842,18.155
155,77.500,1.893,17.087
156,78.000,2.063,19.026
157,78.500,2.152,19.071
158,79.000,1.746,17.504
159,79.500,2.075,16.606
160,80.000,1.677,18.194
161,80.500,1.607,19.897
162,81.000,1.638,18.546
163,81.500,1.855,19.679
164,82.000,2.291,20.292
165,82.500,2.147,20.296
166,83.000,2.458,19.269
167,83.500,2.494,18.451
168,84.000,2.165,19.142
169,84.500,1.995,18.763
170,85.000,1.800,16.706
171,85.500,2.306,16.736
172,86.000,2.129,19.269
173,86.500,1.981,17.895
174,87.000,1.983,19.426
175,87.500,2.113,18.343
176,88.000,1.762,17.511
177,88.500,2.318,15.797
178,89.000,2.307,14.810
179,89.500,2.161,15.786
180,90.000,2.351,16.465
