Frame,Time_ns,RMSD_pHLA_fit_A,RMSD_antibody_A
226,113.000,2.355,6.269
227,113.500,2.167,6.840
228,114.000,2.564,8.369
229,114.500,2.213,9.371
230,115.000,2.115,11.068
231,115.500,2.391,11.414
232,116.000,2.404,7.936
233,116.500,2.274,8.694
234,117.000,2.235,7.808
235,117.500,2.046,8.732
236,118.000,2.054,8.909
237,118.500,2.185,7.637
238,119.000,2.242,9.172
239,119.500,2.171,8.950
240,120.000,2.378,8.772
241,120.500,2.227,11.361
242,121.000,2.098,9.962
243,121.500,2.196,8.777
244,122.000,2.197,9.458
245,122.500,1.918,13.285
246,123.000,2.110,10.989
247,123.500,2.018,10.371
248,124.000,2.190,11.256
249,124.500,2.007,9.252
250,125.000,2.258,9.312
251,125.500,2.327,7.675
252,126.000,2.173,8.565
253,126.500,2.473,11.278
254,127.000,2.170,12.150
255,127.500,2.267,12.693
256,128.000,2.181,11.055
257,128.500,2.226,11.022
258,129.000,2.455,12.878
259,129.500,2.195,12.354
260,130.000,2.313,12.321
261,130.500,2.314,11.943
262,131.000,2.255,12.658
263,131.500,2.111,13.879
264,132.000,2.302,12.942
265,132.500,2.176,11.569
266,133.000,2.192,11.695
267,133.500,2.275,11.690
268,134.000,2.365,12.402
269,134.500,2.342,9.744
270,135.000,2.279,14.004
271,135.500,2.296,12.643
272,136.000,2.059,12.052
273,136.500,2.271,11.996
274,137.000,2.136,13.175
275,137.500,2.351,13.645
276,138.000,2.221,14.470
277,138.500,2.231,12.463
278,139.000,2.165,7.451
279,139.500,2.170,11.087
280,140.000,2.170,10.698
281,140.500,2.300,14.381
282,141.000,2.451,11.966
283,141.500,2.193,11.591
284,142.000,2.248,8.604
285,142.500,2.367,9.203
286,143.000,2.507,8.440
287,143.500,2.541,7.308
288,144.000,2.636,10.275
289,144.500,2.691,10.215
290,145.000,2.591,7.945
291,145.500,2.496,8.493
292,146.000,2.832,4.926
293,146.500,2.654,5.388
294,147.000,2.625,6.810
295,147.500,2.298,7.421
296,148.000,2.503,9.840
297,148.500,2.233,7.798
298,149.000,2.518,9.309
299,149.500,2.525,8.262
300,150.000,2.725,9.845
