POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1423.09,3147.72,4082.47,363.88,216.12,-259.11,-2906.09,-25959.82,1187.74,15892.69,-4631.05,3203.56,-1753.41,-2811.3,-3180.9,-5992.2
2,1411.89,3241.25,4118.86,370.4,218.67,-272.0,-2955.07,-25852.0,1193.43,15844.86,-4665.65,3199.58,-1740.21,-2679.73,-3206.27,-5886.01
3,1390.41,3164.43,4107.21,387.31,208.74,-268.79,-2938.83,-25932.48,1190.02,15901.64,-4697.45,3205.24,-1762.03,-2790.35,-3254.24,-6044.6
4,1419.0,3174.35,4084.39,379.07,190.62,-253.64,-2913.82,-25594.82,1220.15,15771.96,-4900.35,3224.57,-1777.67,-2522.71,-3453.46,-5976.17
5,1330.93,3234.98,4092.56,362.98,220.16,-253.86,-2935.88,-25562.97,1227.74,15892.06,-4933.37,3233.45,-1776.05,-2391.3,-3475.98,-5867.28
6,1360.08,3248.11,4043.39,373.71,212.98,-240.89,-2894.17,-25824.06,1253.78,15856.34,-4748.31,3195.01,-1747.11,-2610.74,-3300.41,-5911.14
7,1448.86,3234.19,4068.82,368.14,205.26,-266.41,-2922.34,-25683.64,1201.29,15736.1,-4751.01,3210.54,-1754.16,-2609.74,-3294.63,-5904.37
8,1352.89,3256.25,4052.39,372.72,206.92,-261.81,-2937.02,-25742.16,1222.75,15784.64,-4755.5,3215.25,-1767.52,-2692.45,-3307.77,-6000.23
9,1399.06,3208.69,4100.67,366.19,211.64,-268.28,-2933.92,-25661.59,1184.25,15757.75,-4812.35,3211.07,-1749.02,-2635.54,-3350.31,-5985.85
10,1408.65,3266.39,4097.95,394.46,196.87,-279.03,-2856.13,-25701.92,1225.03,15688.0,-4766.17,3221.29,-1772.23,-2559.74,-3317.11,-5876.84
11,1417.41,3147.55,4087.02,374.85,218.87,-271.56,-2895.34,-25542.33,1204.9,15678.04,-4882.73,3230.05,-1781.28,-2580.58,-3433.96,-6014.54
12,1455.45,3189.79,4089.0,373.67,218.41,-267.31,-2910.47,-25371.55,1245.13,15683.29,-4986.24,3231.06,-1784.24,-2294.58,-3539.42,-5834.0
13,1422.1,3174.76,4085.53,362.19,214.95,-266.02,-2874.93,-25551.66,1211.49,15790.92,-4970.09,3216.06,-1765.98,-2430.67,-3520.01,-5950.68
14,1404.05,3198.81,4067.68,369.33,199.14,-260.12,-2850.38,-25529.48,1233.46,15762.28,-4964.45,3229.94,-1774.18,-2405.22,-3508.69,-5913.91
15,1340.13,3207.02,4082.66,377.21,214.89,-271.88,-2855.56,-25701.84,1199.43,15722.38,-4824.7,3239.06,-1799.96,-2685.55,-3385.6,-6071.15
16,1431.77,3183.02,4059.42,367.05,203.44,-279.67,-2898.28,-25491.13,1207.8,15732.35,-4931.25,3226.5,-1786.99,-2484.23,-3491.73,-5975.96
17,1390.82,3219.66,4043.39,364.22,212.82,-259.3,-2868.71,-25726.39,1218.04,15674.91,-4725.54,3219.03,-1774.21,-2730.53,-3280.72,-6011.25
18,1476.84,3234.04,4080.2,380.51,221.79,-272.28,-2899.33,-25826.71,1175.37,15651.45,-4666.14,3211.29,-1768.66,-2778.14,-3223.51,-6001.65
19,1399.04,3230.38,4078.18,374.88,187.49,-244.49,-2907.95,-25524.07,1214.04,15815.91,-4984.13,3217.11,-1778.68,-2376.59,-3545.69,-5922.28
20,1428.68,3275.65,4074.31,372.8,240.85,-268.5,-2935.35,-25791.75,1211.38,15744.0,-4716.18,3223.44,-1786.65,-2647.93,-3279.39,-5927.33
21,1434.04,3213.48,4091.9,380.39,209.95,-277.1,-2889.68,-25672.82,1174.18,15746.83,-4753.38,3227.26,-1782.57,-2588.82,-3308.69,-5897.51
22,1467.91,3231.76,4070.38,376.87,217.77,-279.4,-2859.99,-25621.27,1195.06,15641.33,-4764.44,3249.19,-1802.5,-2559.56,-3317.75,-5877.31
23,1431.54,3236.42,4032.9,383.57,220.41,-293.49,-2879.54,-25552.62,1177.18,15728.34,-4923.49,3251.5,-1817.03,-2515.3,-3489.02,-6004.32
24,1403.96,3200.13,4049.99,387.24,226.59,-285.93,-2924.89,-25670.96,1220.5,15688.81,-4720.87,3213.88,-1764.38,-2704.56,-3271.38,-5975.93
