POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1423.09,3147.72,4082.47,363.88,216.12,-259.11,-2906.09,-25959.82,1187.74,15892.69,-4631.05,3203.56,-1753.41,-2811.3,-3180.9,-5992.2
2,1376.55,3205.24,4080.24,379.93,216.48,-282.06,-2904.09,-26003.77,1238.81,15859.19,-4620.54,3193.25,-1742.11,-2833.47,-3169.4,-6002.88
3,1445.82,3231.88,4066.24,376.02,224.69,-262.26,-2915.98,-25725.39,1157.65,15818.47,-4817.84,3209.01,-1757.16,-2582.86,-3366.0,-5948.86
4,1399.93,3155.81,4038.07,359.13,237.52,-262.32,-2892.46,-25696.12,1237.95,15795.54,-4818.64,3221.32,-1768.41,-2626.94,-3365.73,-5992.66
5,1397.23,3199.6,4100.57,379.45,224.64,-308.99,-2897.11,-25872.79,1181.58,15795.99,-4645.86,3206.49,-1758.61,-2799.84,-3197.98,-5997.82
6,1387.72,3221.34,4034.55,362.6,212.78,-279.22,-2882.23,-25664.38,1214.51,15638.86,-4719.79,3207.35,-1767.08,-2753.47,-3279.51,-6032.98
7,1389.41,3254.13,4087.59,388.61,211.62,-276.85,-2884.62,-25700.23,1186.42,15746.01,-4729.33,3227.56,-1785.96,-2597.92,-3287.72,-5885.64
8,1458.8,3195.01,4035.38,371.11,229.04,-270.02,-2911.55,-25591.86,1201.12,15740.67,-4756.82,3213.49,-1768.18,-2542.3,-3311.51,-5853.81
9,1412.42,3200.03,4025.32,384.67,218.93,-260.79,-2922.34,-25623.7,1175.18,15687.33,-4716.66,3236.37,-1791.99,-2702.94,-3272.29,-5975.23
10,1418.18,3248.26,4044.97,379.62,240.76,-246.48,-2927.1,-25467.49,1208.87,15694.31,-4882.49,3227.14,-1783.21,-2406.1,-3438.56,-5844.66
11,1428.24,3226.74,4027.25,378.25,208.39,-269.64,-2900.99,-25576.2,1201.37,15729.09,-4879.15,3227.64,-1783.59,-2547.49,-3435.11,-5982.6
12,1442.17,3279.83,4061.28,387.47,220.07,-276.64,-2909.14,-25498.0,1214.78,15718.46,-4894.57,3232.31,-1792.21,-2359.72,-3454.47,-5814.2
13,1459.03,3201.54,4071.01,377.55,214.0,-264.12,-2966.21,-25597.22,1207.64,15681.11,-4760.55,3216.67,-1775.16,-2615.67,-3319.05,-5934.72
14,1385.11,3110.0,4044.15,369.58,202.34,-258.35,-2832.65,-25912.33,1225.8,15719.62,-4579.92,3222.48,-1782.94,-2946.73,-3140.38,-6087.11
15,1392.9,3177.53,4038.79,353.34,210.37,-263.28,-2876.19,-25805.11,1221.61,15650.86,-4573.14,3218.55,-1774.99,-2899.19,-3129.58,-6028.77
16,1421.38,3164.29,4078.73,366.59,215.53,-293.18,-2872.71,-25708.55,1204.29,15656.73,-4678.44,3210.29,-1771.59,-2766.9,-3239.73,-6006.63
17,1371.54,3216.31,4093.96,371.34,228.19,-276.24,-2861.07,-25779.22,1221.54,15796.76,-4720.24,3222.07,-1777.11,-2616.89,-3275.28,-5892.17
