POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
56,0.0,0.0,0.0,-0.0,0.0,0.0,-54.79,-58.02,0.0,0.0,87.44,-36.25,87.82,-112.81,139.02,26.2
57,-0.0,0.0,-0.0,0.0,0.0,0.0,-56.08,-63.26,-0.0,0.0,89.05,-38.55,88.5,-119.34,138.99,19.65
58,0.0,0.0,0.0,0.0,0.0,0.0,-48.11,-72.95,0.0,0.0,94.36,-32.6,75.99,-121.06,137.75,16.7
59,-0.0,-0.0,0.0,0.0,0.0,0.0,-52.67,-81.24,0.0,0.0,103.8,-34.85,80.29,-133.91,149.24,15.33
60,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-56.24,-88.34,0.0,0.0,109.91,-38.03,84.98,-144.58,156.85,12.28
61,-0.0,-0.0,-0.0,0.0,0.0,0.0,-54.7,-65.13,0.0,0.0,99.11,-35.66,82.66,-119.83,146.11,26.28
62,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-59.47,-49.59,0.0,0.0,91.03,-37.6,88.74,-109.06,142.17,33.11
63,0.0,-0.0,0.0,0.0,-0.0,0.0,-57.75,-54.76,0.0,0.0,88.8,-36.44,85.51,-112.51,137.87,25.36
64,0.0,0.0,0.0,0.0,0.0,0.0,-56.31,-79.41,0.0,0.0,108.57,-37.38,87.35,-135.73,158.54,22.81
65,0.0,0.0,0.0,0.0,0.0,-0.0,-56.98,-57.26,0.0,0.0,93.38,-37.68,89.06,-114.24,144.76,30.52
66,-0.0,-0.0,0.0,0.0,0.0,-0.0,-49.37,-68.39,-0.0,0.0,91.48,-34.53,78.77,-117.76,135.72,17.96
67,0.0,-0.0,0.0,0.0,0.0,-0.0,-64.42,-58.37,0.0,0.0,107.7,-39.91,93.99,-122.8,161.77,38.98
68,0.0,-0.0,0.0,0.0,-0.0,-0.0,-61.32,-65.82,0.0,-0.0,101.43,-37.45,86.86,-127.15,150.84,23.7
69,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-61.29,-67.85,0.0,0.0,104.63,-37.83,88.83,-129.13,155.63,26.5
70,-0.0,0.0,-0.0,-0.0,0.0,0.0,-66.28,-89.51,0.0,0.0,124.99,-41.03,95.05,-155.79,179.01,23.22
71,-0.0,0.0,0.0,-0.0,-0.0,0.0,-55.5,-71.49,0.0,0.0,99.32,-34.98,84.83,-126.99,149.18,22.19
72,0.0,0.0,0.0,0.0,-0.0,-0.0,-68.42,-86.65,0.0,0.0,126.44,-43.26,100.26,-155.08,183.44,28.36
73,-0.0,-0.0,-0.0,0.0,0.0,0.0,-54.56,-90.59,0.0,0.0,111.87,-36.67,85.4,-145.15,160.6,15.45
74,0.0,0.0,-0.0,0.0,0.0,-0.0,-54.47,-44.73,0.0,0.0,72.09,-36.33,85.53,-99.19,121.29,22.1
75,-0.0,-0.0,0.0,0.0,0.0,-0.0,-53.75,-70.1,-0.0,0.0,104.96,-35.94,82.36,-123.84,151.38,27.54
76,-0.0,0.0,-0.0,0.0,0.0,0.0,-58.99,-79.38,0.0,-0.0,109.2,-39.16,87.97,-138.37,158.01,19.64
77,-0.0,0.0,0.0,0.0,0.0,0.0,-53.13,-66.08,-0.0,-0.0,95.31,-36.24,81.28,-119.21,140.35,21.14
78,0.0,0.0,-0.0,0.0,0.0,0.0,-55.82,-88.41,0.0,-0.0,117.53,-37.9,83.27,-144.23,162.91,18.68
79,-0.0,0.0,0.0,0.0,0.0,0.0,-55.77,-94.3,0.0,0.0,130.98,-36.63,84.49,-150.07,178.85,28.78
80,-0.0,0.0,0.0,0.0,0.0,0.0,-57.92,-63.68,0.0,0.0,96.44,-34.4,84.06,-121.6,146.1,24.5
81,0.0,0.0,0.0,0.0,-0.0,-0.0,-53.75,-60.15,0.0,0.0,90.62,-35.19,80.14,-113.9,135.57,21.66
82,-0.0,0.0,0.0,0.0,0.0,-0.0,-57.69,-73.92,0.0,0.0,102.71,-39.65,86.35,-131.61,149.4,17.79
83,0.0,0.0,-0.0,-0.0,0.0,-0.0,-59.35,-75.62,0.0,-0.0,114.07,-40.5,91.2,-134.97,164.78,29.81
