Frame,Time_ns,RMSD_pHLA_fit_A,RMSD_antibody_A
226,113.000,2.243,4.813
227,113.500,2.258,5.185
228,114.000,2.095,5.445
229,114.500,2.081,4.842
230,115.000,2.234,6.046
231,115.500,2.144,5.695
232,116.000,2.030,3.928
233,116.500,2.264,3.579
234,117.000,2.389,4.047
235,117.500,2.211,4.383
236,118.000,2.116,3.650
237,118.500,2.288,3.608
238,119.000,2.586,4.112
239,119.500,2.183,3.311
240,120.000,2.422,3.695
241,120.500,2.442,4.962
242,121.000,2.477,4.523
243,121.500,2.601,6.231
244,122.000,2.616,6.239
245,122.500,2.590,4.492
246,123.000,2.371,6.082
247,123.500,2.273,5.018
248,124.000,2.399,6.081
249,124.500,2.331,8.015
250,125.000,2.659,4.882
251,125.500,2.322,5.188
252,126.000,2.610,4.235
253,126.500,2.132,6.112
254,127.000,2.572,7.058
255,127.500,2.023,6.228
256,128.000,2.231,5.283
257,128.500,2.270,5.830
258,129.000,2.349,4.989
259,129.500,2.291,5.470
260,130.000,1.926,5.759
261,130.500,2.396,5.421
262,131.000,2.279,5.275
263,131.500,2.340,5.497
264,132.000,2.269,4.260
265,132.500,2.119,5.702
266,133.000,2.477,4.933
267,133.500,2.169,6.101
268,134.000,2.247,6.249
269,134.500,2.074,6.291
270,135.000,2.153,6.902
271,135.500,2.307,6.539
272,136.000,2.434,6.788
273,136.500,2.250,8.633
274,137.000,2.288,8.383
275,137.500,2.374,9.044
276,138.000,2.429,11.678
277,138.500,2.401,11.156
278,139.000,2.625,9.246
279,139.500,2.736,6.857
280,140.000,2.831,9.472
281,140.500,2.652,12.122
282,141.000,2.574,11.489
283,141.500,2.538,6.468
284,142.000,2.709,8.462
285,142.500,2.656,10.118
286,143.000,2.663,7.604
287,143.500,2.380,9.600
288,144.000,2.740,6.877
289,144.500,2.659,9.691
290,145.000,2.322,10.855
291,145.500,2.314,10.384
292,146.000,2.207,11.028
293,146.500,2.601,10.448
294,147.000,2.313,9.738
295,147.500,2.584,12.149
296,148.000,2.211,12.010
297,148.500,2.176,11.263
298,149.000,2.233,13.035
299,149.500,2.315,11.188
300,150.000,2.137,11.061
