Time_ns,H-CDR1,H-CDR2,H-CDR3,L-CDR1,L-CDR2,L-CDR3
56.000,4.202,7.965,5.200,6.644,4.789,6.752
56.500,3.671,6.759,5.458,5.779,4.607,5.888
57.000,4.068,6.568,5.298,5.544,4.768,5.111
57.500,3.730,6.164,5.380,6.218,4.555,5.909
58.000,3.465,5.762,5.300,5.444,4.509,5.305
58.500,4.223,5.344,5.571,7.035,5.353,6.538
59.000,4.123,5.062,5.153,6.321,4.625,5.786
59.500,4.243,4.705,5.554,5.614,5.031,5.513
60.000,4.073,4.226,5.279,5.445,4.130,5.430
60.500,4.318,4.986,5.258,6.345,4.637,6.082
61.000,3.260,4.750,4.940,5.370,3.860,5.167
61.500,4.199,6.387,6.051,8.381,5.541,7.324
62.000,4.126,6.921,5.282,8.083,5.411,7.727
62.500,4.747,7.671,5.895,8.735,7.015,8.747
63.000,2.880,4.978,4.582,7.304,5.241,6.407
63.500,4.910,6.847,6.394,7.001,6.583,6.954
64.000,4.501,6.946,5.905,6.497,5.390,6.654
64.500,4.670,6.123,5.611,4.835,5.497,5.086
65.000,4.228,6.402,5.171,6.467,5.696,6.668
65.500,5.441,7.914,6.666,9.765,8.158,8.601
66.000,4.514,6.605,6.201,9.628,7.976,8.528
66.500,3.856,6.316,4.950,6.469,5.188,5.998
67.000,4.125,6.090,4.635,4.199,4.134,4.644
67.500,4.420,7.082,5.260,6.779,5.355,6.599
68.000,4.263,5.881,5.037,5.887,4.908,5.326
68.500,4.179,5.790,5.052,6.279,5.034,5.894
69.000,3.543,5.066,4.304,4.354,4.439,4.582
69.500,4.084,6.256,5.262,5.987,5.433,6.017
70.000,5.550,8.648,6.348,8.290,8.115,7.868
70.500,4.720,6.251,5.688,5.856,4.654,5.321
71.000,3.709,6.238,5.419,7.385,6.466,6.974
71.500,4.879,7.155,6.241,8.511,6.579,7.814
72.000,4.454,4.654,4.185,3.676,3.473,3.669
72.500,4.428,5.605,4.975,3.832,3.972,3.858
73.000,4.899,5.622,5.217,3.488,5.252,3.962
73.500,4.779,6.609,5.364,4.165,4.924,4.506
74.000,5.824,6.643,6.238,4.268,6.028,4.591
74.500,3.933,6.122,4.841,4.107,4.276,4.633
